==========
Args:Namespace(dataset='datasets/eccv16_dataset_tvsum_google_pool5.h5', userscore='datasets/summarizer_dataset_tvsum_google_pool5.h5', split='datasets/tvsum_splits_2.json', split_id=4, metric='tvsum', input_dim=1024, hidden_dim=512, num_layers=2, rnn_cell='gru', lr=1e-05, weight_decay=1e-05, max_epoch=60, stepsize=30, gamma=0.1, num_episode=5, beta=0.01, seed=1, gpu='0', use_cpu=False, evaluate=False, save_dir='log/imgtext/attn_capsum2_gru_768_e1_s2_lcost_rimgsum/tvsum-split4-mode1-e60', resume='', verbose=True, save_results=True, reward_mode=1, text_embedding='./dataset_img2text/text_embedding/tvsum/llava-v1.6-mistral-7b-hf/v1/mpnet/')
==========
Currently using GPU 0
Initialize dataset datasets/eccv16_dataset_tvsum_google_pool5.h5
# total videos 50. # train videos 40. # test videos 10
Initialize model
==> Start training
epoch 1/60	 reward 1.3953727352619172	 loss 4.847949028015137
epoch 2/60	 reward 1.3958321851491928	 loss 4.444580078125
epoch 3/60	 reward 1.3943980145454407	 loss 4.050625324249268
epoch 4/60	 reward 1.3957478547096254	 loss 4.108473300933838
epoch 5/60	 reward 1.3961880737543104	 loss 3.1404452323913574
epoch 6/60	 reward 1.3958697229623795	 loss 2.7799735069274902
epoch 7/60	 reward 1.395525438785553	 loss 2.4526925086975098
epoch 8/60	 reward 1.3956714540719986	 loss 2.505864143371582
epoch 9/60	 reward 1.39656913459301	 loss 1.9503202438354492
epoch 10/60	 reward 1.3965698212385178	 loss 1.7860798835754395
epoch 11/60	 reward 1.396263796687126	 loss 1.5776915550231934
epoch 12/60	 reward 1.397223380804062	 loss 1.5263841152191162
epoch 13/60	 reward 1.3965704995393753	 loss 1.3128327131271362
epoch 14/60	 reward 1.396033126115799	 loss 1.234987497329712
epoch 15/60	 reward 1.3956715607643126	 loss 1.0622150897979736
epoch 16/60	 reward 1.3967443162202835	 loss 0.9677228927612305
epoch 17/60	 reward 1.3979575389623642	 loss 0.887031614780426
epoch 18/60	 reward 1.3969803601503372	 loss 0.8521333336830139
epoch 19/60	 reward 1.396201178431511	 loss 0.6420701742172241
epoch 20/60	 reward 1.3962465775012969	 loss 0.6102049946784973
epoch 21/60	 reward 1.3969024974107742	 loss 0.5725979804992676
epoch 22/60	 reward 1.3962274366617204	 loss 0.5492719411849976
epoch 23/60	 reward 1.3966794848442077	 loss 0.4709855616092682
epoch 24/60	 reward 1.3974353337287904	 loss 0.42070597410202026
epoch 25/60	 reward 1.3970490849018098	 loss 0.460912823677063
epoch 26/60	 reward 1.396271658539772	 loss 0.3727334141731262
epoch 27/60	 reward 1.397325667142868	 loss 0.29171958565711975
epoch 28/60	 reward 1.39671007335186	 loss 0.3037906885147095
epoch 29/60	 reward 1.397557258605957	 loss 0.24503381550312042
epoch 30/60	 reward 1.3965378206968306	 loss 0.22075636684894562
epoch 31/60	 reward 1.397557340860367	 loss 0.21413008868694305
epoch 32/60	 reward 1.3964348667860031	 loss 0.20153164863586426
epoch 33/60	 reward 1.398431517481804	 loss 0.15332120656967163
epoch 34/60	 reward 1.3970550829172135	 loss 0.15551051497459412
epoch 35/60	 reward 1.3982266700267791	 loss 0.13479264080524445
epoch 36/60	 reward 1.396913989186287	 loss 0.11540821939706802
epoch 37/60	 reward 1.3982310247421263	 loss 0.114421546459198
epoch 38/60	 reward 1.3985035139322282	 loss 0.07436317205429077
epoch 39/60	 reward 1.397398183941841	 loss 0.11809192597866058
epoch 40/60	 reward 1.397997317314148	 loss 0.09061029553413391
epoch 41/60	 reward 1.3983938062191008	 loss 0.09110035747289658
epoch 42/60	 reward 1.398235347867012	 loss 0.04101832956075668
epoch 43/60	 reward 1.3999649906158447	 loss 0.07269829511642456
epoch 44/60	 reward 1.3983821016550064	 loss 0.050200581550598145
epoch 45/60	 reward 1.399665081501007	 loss 0.03797158971428871
epoch 46/60	 reward 1.3994024538993837	 loss 0.05990522354841232
epoch 47/60	 reward 1.399418665766716	 loss 0.05998779460787773
epoch 48/60	 reward 1.3994531208276748	 loss 0.027227360755205154
epoch 49/60	 reward 1.3998388117551803	 loss 0.04660722613334656
epoch 50/60	 reward 1.4002312856912613	 loss 0.001672261394560337
epoch 51/60	 reward 1.3997697734832764	 loss 0.01279809232801199
epoch 52/60	 reward 1.4016843861341477	 loss 0.030180180445313454
epoch 53/60	 reward 1.4017212241888046	 loss 0.0338430255651474
epoch 54/60	 reward 1.4003382539749145	 loss -0.009342111647129059
epoch 55/60	 reward 1.4013115751743315	 loss -0.0041973586194217205
epoch 56/60	 reward 1.401570233106613	 loss 0.03105735220015049
epoch 57/60	 reward 1.4014780461788177	 loss 0.007096508517861366
epoch 58/60	 reward 1.4034107261896132	 loss 0.017320191487669945
epoch 59/60	 reward 1.4020812422037126	 loss 0.002064046449959278
epoch 60/60	 reward 1.402406650185585	 loss 0.024156540632247925
==> Test
---  --------  -------
No.  Video     F-score
1    video_1   69.0%
2    video_11  69.1%
3    video_12  62.4%
4    video_15  75.2%
5    video_16  59.3%
6    video_36  61.3%
7    video_42  67.1%
8    video_5   71.7%
9    video_50  55.1%
10   video_6   64.5%
---  --------  -------
Average F1-score 65.5%
Finished. Total elapsed time (h:m:s): 0:00:40
Model saved to log/imgtext/attn_capsum2_gru_768_e1_s2_lcost_rimgsum/tvsum-split4-mode1-e60/tvsum_model_epoch_60_split_id_4-gru.pth.tar
