==========
Args:Namespace(dataset='datasets/eccv16_dataset_tvsum_google_pool5.h5', userscore='datasets/summarizer_dataset_tvsum_google_pool5.h5', split='datasets/tvsum_splits_2.json', split_id=3, metric='tvsum', input_dim=1024, hidden_dim=512, num_layers=2, rnn_cell='gru', lr=1e-05, weight_decay=1e-05, max_epoch=60, stepsize=30, gamma=0.1, num_episode=5, beta=0.01, seed=1, gpu='0', use_cpu=False, evaluate=False, save_dir='log/imgtext/attn_capsum2_gru_768_e1_s2_lcost_rimgsum/tvsum-split3-mode1-e60', resume='', verbose=True, save_results=True, reward_mode=1, text_embedding='./dataset_img2text/text_embedding/tvsum/llava-v1.6-mistral-7b-hf/v1/mpnet/')
==========
Currently using GPU 0
Initialize dataset datasets/eccv16_dataset_tvsum_google_pool5.h5
# total videos 50. # train videos 40. # test videos 10
Initialize model
==> Start training
epoch 1/60	 reward 1.404770860671997	 loss 4.582261085510254
epoch 2/60	 reward 1.4047866976261139	 loss 4.520841598510742
epoch 3/60	 reward 1.404373558163643	 loss 3.6627516746520996
epoch 4/60	 reward 1.4051139742136	 loss 3.6444764137268066
epoch 5/60	 reward 1.4048021882772446	 loss 3.3657968044281006
epoch 6/60	 reward 1.404558406472206	 loss 2.960334300994873
epoch 7/60	 reward 1.4047043669223787	 loss 2.5941576957702637
epoch 8/60	 reward 1.4047314310073853	 loss 2.210581064224243
epoch 9/60	 reward 1.405517538189888	 loss 2.034730911254883
epoch 10/60	 reward 1.4066109192371368	 loss 1.795572280883789
epoch 11/60	 reward 1.4047808361053467	 loss 1.9686968326568604
epoch 12/60	 reward 1.4053598749637604	 loss 1.5286164283752441
epoch 13/60	 reward 1.4059440398216245	 loss 1.2648969888687134
epoch 14/60	 reward 1.405694199204445	 loss 1.2018932104110718
epoch 15/60	 reward 1.4059863668680193	 loss 1.2250410318374634
epoch 16/60	 reward 1.405029826760292	 loss 0.9277065396308899
epoch 17/60	 reward 1.4048365783691406	 loss 0.89494389295578
epoch 18/60	 reward 1.4050779664516448	 loss 0.8448355793952942
epoch 19/60	 reward 1.4052208310365677	 loss 0.7006567716598511
epoch 20/60	 reward 1.405252206325531	 loss 0.6153139472007751
epoch 21/60	 reward 1.4045537340641023	 loss 0.6513916850090027
epoch 22/60	 reward 1.4051938664913177	 loss 0.5610660910606384
epoch 23/60	 reward 1.4055586779117584	 loss 0.48681193590164185
epoch 24/60	 reward 1.4052457374334337	 loss 0.38418760895729065
epoch 25/60	 reward 1.4052048951387406	 loss 0.3782116174697876
epoch 26/60	 reward 1.4050301456451417	 loss 0.34308695793151855
epoch 27/60	 reward 1.4060612559318542	 loss 0.2968287169933319
epoch 28/60	 reward 1.4054387563467023	 loss 0.2936549782752991
epoch 29/60	 reward 1.4065908551216126	 loss 0.26530635356903076
epoch 30/60	 reward 1.4061242431402206	 loss 0.21748483180999756
epoch 31/60	 reward 1.4056922018527984	 loss 0.19127222895622253
epoch 32/60	 reward 1.4052152055501936	 loss 0.18635721504688263
epoch 33/60	 reward 1.4067542988061905	 loss 0.15392252802848816
epoch 34/60	 reward 1.4064552277326583	 loss 0.15318387746810913
epoch 35/60	 reward 1.406938178539276	 loss 0.15484946966171265
epoch 36/60	 reward 1.4068926233053207	 loss 0.12110092490911484
epoch 37/60	 reward 1.4071207594871522	 loss 0.0966583862900734
epoch 38/60	 reward 1.40635638654232	 loss 0.09160882979631424
epoch 39/60	 reward 1.4073451626300812	 loss 0.10795000195503235
epoch 40/60	 reward 1.40721939265728	 loss 0.0837525799870491
epoch 41/60	 reward 1.4070156437158583	 loss 0.07347483187913895
epoch 42/60	 reward 1.4074194139242173	 loss 0.06434749066829681
epoch 43/60	 reward 1.4072382098436356	 loss 0.07477141916751862
epoch 44/60	 reward 1.406930828690529	 loss 0.06130887567996979
epoch 45/60	 reward 1.4071998190879822	 loss 0.04069836437702179
epoch 46/60	 reward 1.406872524023056	 loss 0.05105826258659363
epoch 47/60	 reward 1.4070355790853502	 loss 0.056525811553001404
epoch 48/60	 reward 1.4075300687551497	 loss 0.042995043098926544
epoch 49/60	 reward 1.4079663848876953	 loss 0.025701383128762245
epoch 50/60	 reward 1.4084876215457915	 loss 0.030458075925707817
epoch 51/60	 reward 1.408819743990898	 loss 0.031793262809515
epoch 52/60	 reward 1.408317683339119	 loss 0.030240053310990334
epoch 53/60	 reward 1.4086245232820511	 loss 0.012139050289988518
epoch 54/60	 reward 1.4085507935285568	 loss 0.03762240707874298
epoch 55/60	 reward 1.4086555427312852	 loss 0.01852756179869175
epoch 56/60	 reward 1.4093378180265426	 loss 0.02163071744143963
epoch 57/60	 reward 1.4089654272794723	 loss 0.016445886343717575
epoch 58/60	 reward 1.4095449310541153	 loss 0.027257679030299187
epoch 59/60	 reward 1.409289767742157	 loss 0.01979728415608406
epoch 60/60	 reward 1.4110766869783402	 loss 0.027312874794006348
==> Test
---  --------  -------
No.  Video     F-score
1    video_1   69.0%
2    video_11  69.5%
3    video_17  59.4%
4    video_26  52.7%
5    video_30  52.1%
6    video_37  49.3%
7    video_4   62.6%
8    video_43  70.4%
9    video_45  72.7%
10   video_50  56.0%
---  --------  -------
Average F1-score 61.4%
Finished. Total elapsed time (h:m:s): 0:00:42
Model saved to log/imgtext/attn_capsum2_gru_768_e1_s2_lcost_rimgsum/tvsum-split3-mode1-e60/tvsum_model_epoch_60_split_id_3-gru.pth.tar
