==========
Args:Namespace(dataset='datasets/eccv16_dataset_tvsum_google_pool5.h5', userscore='datasets/summarizer_dataset_tvsum_google_pool5.h5', split='datasets/tvsum_splits_2.json', split_id=1, metric='tvsum', input_dim=1024, hidden_dim=512, num_layers=2, rnn_cell='gru', lr=1e-05, weight_decay=1e-05, max_epoch=60, stepsize=30, gamma=0.1, num_episode=5, beta=0.01, seed=1, gpu='0', use_cpu=False, evaluate=False, save_dir='log/imgtext/attn_capsum2_gru_768_e1_s2_lcost_rimgsum/tvsum-split1-mode1-e60', resume='', verbose=True, save_results=True, reward_mode=1, text_embedding='./dataset_img2text/text_embedding/tvsum/llava-v1.6-mistral-7b-hf/v1/mpnet/')
==========
Currently using GPU 0
Initialize dataset datasets/eccv16_dataset_tvsum_google_pool5.h5
# total videos 50. # train videos 40. # test videos 10
Initialize model
==> Start training
epoch 1/60	 reward 1.3994850730895998	 loss 5.132710933685303
epoch 2/60	 reward 1.4012135595083237	 loss 4.706398010253906
epoch 3/60	 reward 1.400745530128479	 loss 3.991396188735962
epoch 4/60	 reward 1.4012997114658357	 loss 3.550536870956421
epoch 5/60	 reward 1.400596402287483	 loss 3.3675696849823
epoch 6/60	 reward 1.4009403544664383	 loss 2.9182093143463135
epoch 7/60	 reward 1.4008039325475692	 loss 2.445770025253296
epoch 8/60	 reward 1.4007688057422638	 loss 2.3434362411499023
epoch 9/60	 reward 1.4006262803077698	 loss 2.0729098320007324
epoch 10/60	 reward 1.4003968113660812	 loss 1.8253788948059082
epoch 11/60	 reward 1.4005295234918596	 loss 1.6543388366699219
epoch 12/60	 reward 1.3996867567300797	 loss 1.4294602870941162
epoch 13/60	 reward 1.4015126103162765	 loss 1.5160681009292603
epoch 14/60	 reward 1.4009923136234286	 loss 1.1755807399749756
epoch 15/60	 reward 1.400973202586174	 loss 1.1057668924331665
epoch 16/60	 reward 1.4015685391426085	 loss 0.9774373769760132
epoch 17/60	 reward 1.4000361627340316	 loss 0.8391478061676025
epoch 18/60	 reward 1.4009426754713057	 loss 0.8160662651062012
epoch 19/60	 reward 1.4010290265083314	 loss 0.7154726982116699
epoch 20/60	 reward 1.3990318906307222	 loss 0.6463676691055298
epoch 21/60	 reward 1.4000617402791977	 loss 0.5689200162887573
epoch 22/60	 reward 1.4005414712429047	 loss 0.5503222346305847
epoch 23/60	 reward 1.401900624036789	 loss 0.4923432469367981
epoch 24/60	 reward 1.4002191525697707	 loss 0.4858112931251526
epoch 25/60	 reward 1.4011193966865538	 loss 0.3614368438720703
epoch 26/60	 reward 1.4018489867448807	 loss 0.37723052501678467
epoch 27/60	 reward 1.4017448914051056	 loss 0.339309424161911
epoch 28/60	 reward 1.4003722137212753	 loss 0.2962057292461395
epoch 29/60	 reward 1.4008281069993973	 loss 0.2628978490829468
epoch 30/60	 reward 1.4019016528129575	 loss 0.22039949893951416
epoch 31/60	 reward 1.4017299836874009	 loss 0.19521988928318024
epoch 32/60	 reward 1.4007096004486086	 loss 0.19686584174633026
epoch 33/60	 reward 1.4014460015296937	 loss 0.17310015857219696
epoch 34/60	 reward 1.4010212987661361	 loss 0.17786705493927002
epoch 35/60	 reward 1.4014439874887465	 loss 0.11622872203588486
epoch 36/60	 reward 1.4013292557001116	 loss 0.13166609406471252
epoch 37/60	 reward 1.4014603704214097	 loss 0.12416975945234299
epoch 38/60	 reward 1.4008721017837527	 loss 0.07961571961641312
epoch 39/60	 reward 1.4022942996025087	 loss 0.10692240297794342
epoch 40/60	 reward 1.4023033821582795	 loss 0.08324427902698517
epoch 41/60	 reward 1.4030953574180602	 loss 0.08433432132005692
epoch 42/60	 reward 1.4027829384803772	 loss 0.060505326837301254
epoch 43/60	 reward 1.4023215055465699	 loss 0.04583077132701874
epoch 44/60	 reward 1.4033960807323456	 loss 0.06474332511425018
epoch 45/60	 reward 1.403248777985573	 loss 0.05801483988761902
epoch 46/60	 reward 1.4030104237794876	 loss 0.039729781448841095
epoch 47/60	 reward 1.4017596244812012	 loss 0.031827159225940704
epoch 48/60	 reward 1.4037301260232924	 loss 0.03515740483999252
epoch 49/60	 reward 1.4032594364881514	 loss 0.023236356675624847
epoch 50/60	 reward 1.4031372970342635	 loss 0.023764753714203835
epoch 51/60	 reward 1.4040364396572111	 loss 0.00706434715539217
epoch 52/60	 reward 1.4043920415639877	 loss 0.04663243889808655
epoch 53/60	 reward 1.403642189502716	 loss 0.03472728654742241
epoch 54/60	 reward 1.4047093802690507	 loss 0.02056991308927536
epoch 55/60	 reward 1.4050191509723664	 loss 0.020298555493354797
epoch 56/60	 reward 1.4045727050304415	 loss 0.018428238108754158
epoch 57/60	 reward 1.404578194618225	 loss 0.027677364647388458
epoch 58/60	 reward 1.405980932712555	 loss 0.03188445791602135
epoch 59/60	 reward 1.40469181060791	 loss 0.018340758979320526
epoch 60/60	 reward 1.404912162423134	 loss 0.0008671963587403297
==> Test
---  --------  -------
No.  Video     F-score
1    video_10  47.6%
2    video_11  65.4%
3    video_13  49.6%
4    video_15  68.0%
5    video_19  55.5%
6    video_24  52.9%
7    video_33  62.2%
8    video_44  71.4%
9    video_45  72.7%
10   video_47  46.9%
---  --------  -------
Average F1-score 59.2%
Finished. Total elapsed time (h:m:s): 0:00:29
Model saved to log/imgtext/attn_capsum2_gru_768_e1_s2_lcost_rimgsum/tvsum-split1-mode1-e60/tvsum_model_epoch_60_split_id_1-gru.pth.tar
